distance_m,geometry,elevation_masl,head_m
0.0,POINT (294624.27942638815 8026230.318039835),1481,98.0
41.5427647971239,POINT (294665.81997021753 8026230.747604),1483,100.0
83.0855295942478,POINT (294707.36051404633 8026231.177168165),1484,101.0
124.6282943913717,POINT (294748.90105787537 8026231.606732331),1485,102.0
166.1710591884956,POINT (294790.4416017049 8026232.036296496),1482,99.0
207.7138239856195,POINT (294831.98214553343 8026232.465860661),1479,96.0
249.2565887827434,POINT (294873.5226893627 8026232.895424826),1481,98.0
290.79935357986733,POINT (294915.0632331921 8026233.324988992),1483,100.0
332.3421183769912,POINT (294956.6037770207 8026233.754553157),1482,99.0
373.8848831741151,POINT (294998.14432084974 8026234.184117323),1483,100.0
415.427647971239,POINT (295039.68486467924 8026234.613681487),1483,100.0
456.9704127683629,POINT (295081.2254085083 8026235.043245653),1483,100.0
498.5131775654868,POINT (295122.7659523375 8026235.472809818),1483,100.0
540.0559423626107,POINT (295164.3064961667 8026235.902373983),1484,101.0
581.5987071597347,POINT (295205.84703999537 8026236.331938148),1484,101.0
623.1414719568585,POINT (295247.387583825 8026236.761502313),1482,99.0
664.6842367539824,POINT (295288.92812765355 8026237.191066477),1480,97.0
706.2270015511064,POINT (295330.46867148275 8026237.620630643),1480,97.0
747.7697663482302,POINT (295372.00921531173 8026238.050194809),1481,98.0
789.3125311453541,POINT (295413.5497591408 8026238.479758973),1482,99.0
830.855295942478,POINT (295455.09030297014 8026238.909323139),1481,98.0
872.3980607396019,POINT (295496.63084679894 8026239.338887304),1482,99.0
913.9408255367258,POINT (295538.1713906281 8026239.768451469),1482,99.0
955.4835903338497,POINT (295579.7119344571 8026240.198015635),1482,99.0
997.0263551309736,POINT (295621.2524782866 8026240.6275798),1483,100.0
1038.5691199280975,POINT (295662.7930221156 8026241.057143965),1483,100.0
1080.1118847252214,POINT (295684.1314939554 8026261.275823189),1483,100.0
1121.6546495223454,POINT (295683.70314619783 8026302.816379579),1481,98.0
1163.1974143194693,POINT (295683.27479844016 8026344.356935968),1481,98.0
1204.740179116593,POINT (295682.84645068226 8026385.897492358),1482,99.0
1246.282943913717,POINT (295682.4181029246 8026427.438048748),1482,99.0
1287.825708710841,POINT (295681.9897551673 8026468.978605138),1481,98.0
1329.3684735079648,POINT (295681.5614074095 8026510.519161528),1480,97.0
1370.9112383050888,POINT (295681.1330596514 8026552.059717918),1478,95.0
1412.4540031022127,POINT (295680.7047118942 8026593.600274308),1476,93.0
1453.9967678993366,POINT (295680.2763641365 8026635.1408306975),1475,92.0
1495.5395326964604,POINT (295679.8480163789 8026676.681387087),1474,91.0
1537.0822974935843,POINT (295679.4196686207 8026718.221943478),1472,89.0
1578.6250622907082,POINT (295678.99132086313 8026759.762499868),1474,91.0
1620.1678270878322,POINT (295678.56297310576 8026801.303056258),1476,93.0
1661.710591884956,POINT (295678.1346253477 8026842.843612647),1475,92.0
1703.25335668208,POINT (295677.7062775901 8026884.3841690365),1476,93.0
1744.7961214792037,POINT (295677.2779298325 8026925.924725427),1476,93.0
1786.3388862763277,POINT (295676.84958207473 8026967.465281817),1475,92.0
1827.8816510734516,POINT (295676.4212343169 8027009.005838207),1475,92.0
1869.4244158705756,POINT (295675.9928865596 8027050.546394598),1476,93.0
1910.9671806676995,POINT (295675.56453880144 8027092.086950988),1477,94.0
1952.5099454648234,POINT (295675.1361910442 8027133.627507377),1478,95.0
